N1,N2,N3,N4,N5,N6,N7
150,17,28,47,11,43,13
123,13,20,39,9,30,13
150,13,31,48,14,31,17
187,19,29,45,20,37,13
166,14,27,43,12,48,16
164,8,30,37,15,57,27
138,8,33,39,16,64,18
103,3,21,39,6,40,19
77,8,15,18,3,35,15
58,2,4,17,8,22,13
63,3,13,10,2,13,9
36,3,7,15,4,11,7
33,0,7,8,5,9,2
23,0,4,5,2,7,4
28,0,4,9,4,5,5
15,4,2,7,1,4,1
10,1,2,5,0,1,1
7,1,1,6,2,1,3
9,5,0,2,7,0,0
28,2,8,1,5,3,4
74,10,5,15,4,9,6
159,15,13,24,2,12,14
211,15,24,45,5,27,15
201,24,26,49,16,35,18
179,23,17,48,12,42,21
134,8,15,45,15,40,16
197,13,27,45,16,40,24
194,15,30,64,9,51,20
148,11,41,75,10,60,20
198,12,40,71,16,83,23
211,11,36,57,5,71,23
204,12,26,32,14,61,19
135,9,20,44,9,47,18
95,6,22,25,7,32,18
80,5,17,17,6,30,7
53,6,23,31,3,18,13
35,2,30,33,7,9,7
22,0,2,9,2,9,5
25,2,7,2,4,3,4
19,2,2,4,2,4,2
14,1,4,6,4,4,4
8,1,1,7,4,6,3
10,1,3,7,1,5,0
25,3,4,5,3,1,2
81,7,10,15,2,6,6
144,19,14,26,9,18,10
217,15,24,41,10,21,22
341,38,29,67,17,47,26
382,27,47,84,17,61,29
227,16,28,55,12,38,14
302,15,27,43,9,21,14
379,12,33,45,13,30,26
291,19,33,60,19,52,26
252,15,51,59,13,54,25
237,14,37,53,14,57,15
172,12,20,37,3,42,16
87,3,21,25,6,31,18
103,6,11,13,3,22,12
80,0,15,13,1,24,9
51,6,10,16,7,24,12
30,1,8,11,4,13,1
20,0,7,11,1,8,4
15,0,2,4,2,4,4
20,0,4,1,4,7,1
12,1,1,6,3,3,0
6,0,3,1,4,4,4
8,1,1,2,0,3,1
17,2,3,5,4,7,0
58,7,8,19,4,10,4
145,17,11,21,7,9,7
272,11,20,32,8,28,13
338,29,35,49,17,31,13
316,17,24,35,7,37,17
212,15,21,45,12,36,11
247,15,19,42,9,35,13
264,5,21,39,14,62,27
212,16,37,65,16,64,31
198,15,37,60,18,59,33
199,13,38,50,16,74,26
117,5,26,32,11,52,25
119,8,15,24,4,35,19
80,3,17,20,4,25,19
58,8,17,17,8,28,15
45,1,24,22,2,15,9
25,4,9,11,2,11,6
24,0,3,7,0,9,4
14,1,2,2,1,9,3
10,0,1,2,1,4,4
9,0,2,2,2,5,1
10,1,1,3,2,4,1
11,0,2,3,2,3,2
31,4,4,12,3,6,6
105,12,13,27,6,15,8
158,10,17,39,7,25,17
209,19,14,50,16,35,14
200,21,30,60,14,42,23
169,16,44,54,14,30,24
166,12,19,35,13,32,16
191,13,28,54,11,42,14
181,21,18,46,10,28,26
152,15,20,47,12,52,23
153,14,32,45,9,59,28
121,16,25,45,12,45,21
111,5,22,33,9,27,18
82,11,5,21,3,33,12
52,2,10,16,6,24,12
53,3,7,19,4,22,10
45,7,9,20,2,17,5
24,1,5,9,2,11,3
12,0,4,4,3,12,5
27,0,0,3,4,1,2
12,1,1,6,2,5,5
7,0,7,1,2,4,2
5,1,3,2,1,1,3
17,2,2,4,1,3,2
28,2,7,6,3,8,2
64,7,6,20,4,9,9
157,20,14,30,4,23,19
206,16,21,54,5,38,22
224,20,28,56,13,49,29
176,16,33,58,8,43,22
145,10,27,42,10,40,16
182,15,21,34,8,40,22
