N1,N2,N3,N4,N5,N6,N7
9,4,4,1,2,4,4
11,0,4,1,1,3,1
8,0,2,0,2,4,1
7,1,2,1,1,1,4
6,1,2,1,0,1,1
8,0,0,0,0,3,0
5,0,1,0,1,2,0
7,2,3,2,0,2,2
2,0,0,2,1,3,0
6,0,0,1,4,0,1
5,1,1,2,2,1,1
2,1,4,1,0,4,6
12,2,3,0,2,3,1
11,2,2,5,1,6,1
31,3,4,8,1,4,0
45,3,5,6,1,4,1
76,11,4,13,1,8,6
103,7,5,19,4,9,2
97,12,13,22,5,15,3
122,10,12,29,3,11,10
107,12,10,46,3,21,10
89,6,17,29,6,19,15
80,8,12,26,6,18,6
89,3,10,22,4,14,5
73,4,10,14,1,20,13
69,9,12,12,3,15,10
71,8,14,28,7,20,9
92,11,13,25,3,16,7
84,6,15,22,1,22,8
79,6,14,27,5,22,14
76,4,15,21,5,14,8
100,5,13,28,9,49,16
72,3,15,26,10,33,10
76,6,22,30,4,34,15
80,4,13,28,5,25,10
89,4,10,27,5,14,10
67,5,14,18,6,22,9
48,2,8,15,3,14,5
52,3,7,15,2,17,4
30,2,7,10,4,14,9
31,2,8,10,1,13,3
33,2,6,7,6,9,4
30,0,4,15,3,9,5
21,2,5,9,1,20,5
24,1,4,7,1,7,1
22,2,1,3,3,8,0
12,1,6,2,4,6,1
9,0,1,5,3,6,1
8,1,1,5,0,3,7
6,0,1,3,1,4,3
10,0,2,1,4,5,1
5,0,2,3,1,4,4
5,0,3,2,2,2,1
4,0,1,0,1,2,0
3,0,0,0,1,3,0
6,1,2,1,1,2,1
3,0,1,0,0,3,0
3,0,1,2,0,3,0
12,3,3,4,1,0,1
8,3,1,2,1,1,3
7,1,3,1,3,0,2
23,3,3,1,1,5,0
34,5,4,9,3,4,4
57,7,3,6,1,2,3
86,6,12,13,3,4,2
93,4,14,14,2,9,6
111,13,6,20,3,18,4
117,13,15,29,5,21,12
88,6,5,35,4,16,15
101,10,12,29,5,16,15
107,11,17,38,3,12,11
89,3,9,15,4,16,5
56,5,7,26,12,13,10
67,5,11,24,5,22,13
78,7,13,16,8,13,5
85,3,10,26,6,16,8
97,11,19,24,6,21,14
82,2,9,32,6,25,9
94,3,14,29,1,26,8
91,8,15,37,5,19,10
80,7,14,30,4,23,11
87,4,17,31,3,30,15
74,6,20,24,7,23,6
88,3,9,25,5,25,8
68,3,10,25,2,16,11
48,6,16,14,3,11,9
58,2,10,16,2,12,5
37,7,9,16,2,12,4
26,1,6,6,0,9,6
28,0,6,4,2,12,5
32,0,3,12,3,13,2
30,0,5,9,2,11,3
23,3,8,7,2,17,1
22,2,2,4,0,11,3
11,3,6,8,2,6,2
9,0,0,2,2,10,0
6,1,1,3,1,6,4
7,1,1,4,2,5,4
10,0,4,4,2,2,1
5,0,0,4,0,2,2
4,0,0,2,1,1,3
10,0,2,1,0,2,1
8,0,1,1,0,4,3
9,0,2,2,1,1,5
1,0,0,1,0,3,1
2,4,1,3,2,1,1
7,1,1,1,3,3,0
8,1,1,2,2,1,1
11,2,3,3,2,0,2
23,3,3,1,1,2,0
40,4,7,4,4,4,2
53,13,5,6,3,7,3
71,5,7,5,1,11,4
87,7,9,15,5,14,5
99,5,13,25,2,4,5
119,7,13,24,3,7,12
116,11,13,36,6,22,5
99,9,14,22,7,23,10
83,3,15,26,9,19,14
75,9,17,19,9,14,9
70,5,9,19,6,19,6
66,11,15,17,5,12,10
80,5,14,16,2,17,4
97,8,12,25,5,23,10
85,5,11,23,5,29,15
90,5,16,13,4,19,19
92,5,13,32,3,20,4
92,5,12,17,5,20,17
68,9,19,27,11,25,14
74,6,20,16,7,21,15
61,9,17,25,6,19,14
68,2,11,18,7,22,9
78,2,9,21,6,28,7
74,4,14,17,7,15,6
51,1,9,18,3,12,5
28,2,3,20,3,20,4
46,0,5,5,4,9,6
33,2,2,10,2,13,3
32,1,4,9,3,12,6
32,4,3,8,5,15,8
30,2,6,12,0,8,4
20,0,2,6,4,4,2
10,0,4,3,1,3,5
10,0,0,5,0,5,3
6,1,0,4,1,5,3
7,0,1,1,2,5,0
12,1,1,4,0,5,2
12,0,3,2,1,3,1
10,0,0,0,0,1,1
7,1,1,0,0,3,0
8,2,1,1,0,5,1
6,0,2,0,0,0,1
5,2,2,0,2,1,1
3,0,0,6,1,6,1
2,1,0,0,1,4,1
4,1,2,2,2,2,0
10,1,1,7,0,3,0
18,2,1,8,0,0,1
34,1,4,3,1,4,1
53,9,10,5,3,6,0
61,10,7,13,2,6,5
59,2,8,20,1,15,5
90,11,8,16,3,8,2
78,6,10,30,1,14,6
84,8,18,33,8,19,9
69,9,14,28,6,13,17
57,9,12,30,6,20,10
46,8,14,25,4,19,5
63,1,5,19,3,16,6
76,7,10,23,3,13,7
58,13,18,21,6,24,13
71,7,15,29,5,24,5
97,13,18,35,5,18,11
93,9,15,40,5,26,10
91,4,21,30,10,29,11
105,11,11,38,6,32,16
109,7,22,35,7,28,11
105,11,13,28,7,44,20
87,8,21,25,5,34,16
87,1,15,26,8,28,17
77,3,15,25,3,27,10
86,5,19,29,4,22,8
76,5,17,15,3,17,8
60,3,8,24,6,19,7
67,6,12,22,7,23,5
41,3,5,14,4,20,15
53,2,9,9,1,21,6
45,5,5,9,3,12,8
25,1,9,10,0,15,4
28,4,2,16,1,11,5
22,0,3,3,0,9,3
20,0,2,7,0,4,0
12,0,1,5,1,3,3
12,0,3,5,1,4,3
10,0,3,0,2,4,1
20,1,2,3,1,1,0
13,0,2,0,1,5,1
5,0,0,0,0,4,1
11,1,3,0,0,3,0
4,1,3,2,1,1,1
