N1_Ori,N2_Ori,N3_Ori,N4_Ori,N5_Ori,N6_Ori,N7_Ori,N8_Ori,N9_Ori,N10_Ori,N11_Ori,N12_Ori,N13_Ori,N14_Ori,N15_Ori,N16_Ori,N17_Ori,N18_Ori,N19_Ori,N20_Ori,N21_Ori,N22_Ori,N23_Ori,N24_Ori,N25_Ori
26222688860510.8,25481463567823.3,24886203270547.9,25899091041841.0,26041787314606.7,25524595523012.6,25449134351351.4,26505931486631.0,26887424857142.9,26979222341614.9,27007488060377.4,29841131628048.8,29318480339506.2,29542333646090.5,29794408244680.9,29410675037037.0,29955218240740.7,28126089930232.6,27835468559670.8,27760883226851.9,26705584843621.4,26988742935185.2,26951307296296.3,24223205280373.8,23562936361702.1
25797051164933.1,25919699267676.8,25021176101156.1,25794697133561.6,26454336385135.1,26548988579166.7,27623732262172.3,27960513948356.8,26683254223255.8,27513501074906.4,28403740629629.6,28853590436214.0,28206643553903.3,29035425158730.2,28378464860082.3,28069353449074.1,27346724648148.1,28045791396296.3,27808394232804.2,28085041863636.4,27175878707818.9,24721381949074.1,24084914250847.5,24523847906976.7,23774121402489.6
24092485042084.2,24244635254117.6,24965362556250.0,25617950648760.3,25950977688356.2,26610904030418.2,26628443613445.4,27573749327067.7,27926624724279.8,28176440100746.3,28086766838843.0,28478834032558.1,28345125136363.6,29742769925619.8,29924576252788.1,30952006299180.3,30144882230452.7,29933404251700.7,30534579160493.8,27959816445993.0,27654257686098.7,26089956303738.3,25167327287878.8,24785912366300.4,25070822909090.9
26619660165820.6,25144739028436.0,24726243816537.5,24977157626822.2,25756584459731.5,25995362253125.0,25514597360424.0,26765069675889.3,25898641046729.0,27289229148275.9,29492066469879.5,29793757168918.9,30295235268518.5,29363133566666.7,29470714306878.3,30674316481481.5,29808383902777.8,28901022486772.5,28384082567901.2,27721381867021.3,28235234145228.2,25950357559259.3,26089632338624.3,24534829558510.6,24690320640186.9
25490806389610.4,24948979324921.1,25635271781132.1,26467232359832.6,26292685563139.9,27396336471698.1,26264661878661.1,26466663417061.6,27589893685567.0,27889951443925.2,30445779544973.5,29097513882716.1,29938473185185.2,30707773917910.4,30947053650793.7,30612248148148.1,30301205042328.0,29999955217592.6,29532838641975.3,27714210031914.9,27085900580246.9,25877134791443.9,24453689739130.4,24222772456790.1,23957928128630.7
26290349336302.9,25862808207547.2,25570667828985.5,25272171311864.4,26264461426116.8,26340237630824.4,27987459462450.6,27170458762096.8,29162092076335.9,27382956077821.0,29611558978417.3,29529858024896.3,28361068680297.4,29054777762963.0,28452601189300.4,29001118619528.6,29536852024691.4,28258336592592.6,25960171436214.0,28496957174721.2,28367597685185.2,26680420646511.6,24765779777777.8,24359224807531.4,24262529802816.9
24954892953255.4,25229935161369.2,24753972252054.8,26465492817337.5,24852511925311.2,26065310401360.5,25920536781893.0,25921135823529.4,26246814817567.6,28919762280991.7,28870586158878.5,28563414757575.8,27758479304526.8,29662730398148.1,28783126680851.1,28559376788359.8,28360112679611.7,28507793982300.9,28018668555555.6,28622049479069.8,26849111801652.9,26505242078703.7,25210025829875.5,24531208324074.1,24550146420792.1
25641486795161.3,25025952713004.5,26052093118090.5,27175254152027.0,25633096510574.0,26486745763485.5,27272444534202.0,27208301409375.0,28181543382899.6,28531525962546.8,28110015899628.3,27915061289256.2,28627439041152.3,29167261966542.8,31010625892592.6,29491036812720.8,32161200264591.4,31473519611111.1,28261982046610.2,28953059530612.2,29077120750000.0,26905385876543.2,24765984048128.3,23921862916666.7,24645673576131.7
25388646392694.1,25433939083032.5,25990653183783.8,26453666323308.3,26333164037500.0,26351393604166.7,26759920542553.2,25942959878504.7,25391304711111.1,27190158693750.0,27878054703703.7,27636147751322.8,28467824881987.6,30930284506172.8,29246496234567.9,28720586084656.1,29362857513227.5,27801539271604.9,27462620370370.4,27285381895061.7,27651416430851.1,27585319978836.0,27029863771276.6,25841518689814.8,25131493724867.7
26218228145833.3,24805495548469.4,25944915684813.8,25694274848148.1,26059015354961.8,26310073088028.2,28566510004048.6,27804281758139.5,27412089128301.9,27550599403292.2,28051804066079.3,28295964939130.4,28807755046296.3,29363983027777.8,29481631012345.7,29375783230452.7,29060302030651.3,29783716702381.0,28901950865116.3,28840824324232.1,27377316503968.3,26325022891666.7,24342955473684.2,24842653700892.9,23051776069958.8
25242606587142.9,25053917867684.5,25748737705583.8,26128297692307.7,27332914182098.8,27277471843003.4,27244537201278.0,28505080451612.9,26873715625850.3,28346171086956.5,29129745933884.3,29342534528813.6,29449890444444.4,29319163967136.1,30298780206349.2,30349546977777.8,29604800671957.7,28586773872340.4,29851226000000.0,28184802657407.4,26878956418604.7,26773465537037.0,27180573808510.6,25427846090909.1,23608980338843.0
25686963879251.7,25692572181818.2,26438094322033.9,25517442285714.3,25320990625731.0,26353632285714.3,25869108625000.0,25073342966386.6,26648273457337.9,27195061417989.4,27727083447761.2,28338263518518.5,28457536634259.3,30325097135802.5,30341353370370.4,30308451913580.2,30912582328703.7,29403367358024.7,29765901931216.9,27340483510548.5,28804593963964.0,27598324934156.4,27597514768518.5,26368575534883.7,24475939356383.0
25298448214285.7,25441119666666.7,25236129674157.3,25652075617977.5,27111224171232.9,27213903406716.4,27508532287925.7,27096243032558.1,28135025102803.7,27375474345724.9,28438775940520.4,29695275846511.6,30328387185185.2,29988652315315.3,29903603738831.6,30320195111524.2,29581363564814.8,29220803740740.7,29530882888888.9,29252426093023.3,27741608106976.7,28217637955390.3,25529234367441.9,25085918439153.4,24914191213622.3
27016761276816.6,26706601296482.4,27894123660332.5,27641789750853.2,28064982189003.4,29295775004115.2,27356916416083.9,27987934886639.7,27272168816326.5,27633954409302.3,26930095148760.3,28333317898148.1,29564201720930.2,29341509425675.7,28965508617283.9,29475556584362.1,30030139351851.9,28989314654321.0,29365653702127.7,28863109493087.6,29064410445833.3,26847991490272.4,25108439567839.2,24501441702830.2,23920764245283.0
25979509964234.6,24710282021634.6,26503745397727.3,26028797482573.7,26551486739811.9,26234883442244.2,26668431189710.6,27396604143396.2,27461574666666.7,27639172425675.7,28431319518656.7,27746399140794.2,29467472595419.8,27476564586497.9,30083963706185.6,30396975720164.6,30063878765432.1,29987315097315.4,29243392510288.1,28423102576744.2,28320062444444.4,28808055726851.9,28005244226851.9,25283118033834.6,23930394878048.8
25877990980322.0,25622400480818.4,25782531361516.0,26053792893470.8,26025447138775.5,27308719804878.0,27342332708333.3,27628485497925.3,27332377213178.3,28401513383928.6,28669221555555.6,29940436404958.7,28630464504629.6,30449671382716.1,29342055341563.8,29223162360515.0,31059157077551.0,31544946394117.6,29898890625514.4,29081757118959.1,28854694944444.4,27742143494423.8,26463171399177.0,26152696325581.4,24242287541666.7
26007827711538.5,25546590736677.1,25687121561797.8,25768893169172.9,26353620125000.0,27765831688372.1,27827613655462.2,26928511618320.6,27519461813829.8,28166271493023.3,29290407592592.6,28249984111111.1,29850477695187.2,30134601281914.9,31257319876543.2,30605875291005.3,30209443896694.2,30115248585858.6,29925648287037.0,29179538545454.5,27646943757575.8,28948420646840.1,26303706397769.5,25407125497674.4,24938544182835.8
25397057293846.2,27084999713389.1,25929680400000.0,27889169872781.1,26658133774193.5,27970583889967.6,27339604828671.3,29359008416393.4,29757759182835.8,29788653222222.2,29011472700336.7,28470195912037.0,29370737431535.3,28671821158783.8,28366694655555.6,28207501107407.4,27909687751322.8,29629583116279.1,28725926666666.7,27793447292181.1,28141190021276.6,26113547219626.2,26861042222222.2,24466190909090.9,23760496809128.6
25207467397202.8,25855669826087.0,26231715886227.5,25963747170028.8,26030130663194.4,27156018832853.0,28064468056603.8,28368132246231.2,29374692091549.3,27911983148148.1,27839590185520.4,29212802972508.6,29360198865740.7,29250011216931.2,29741285319148.9,30104850304568.5,29997067526749.0,31023199907407.4,30194671020576.1,30810872583333.3,30062808835978.8,28664404367768.6,28435121670940.2,25087386356000.0,25519069416666.7
26773515935840.7,25841370082066.9,27220958137254.9,26976235225694.4,27771806350000.0,26632232089887.6,26703083982906.0,28373775418960.2,28364523596610.2,27960925772727.3,29738761714285.7,29180196558219.2,29505404780219.8,30321324759322.0,30565512725581.4,29666763864197.5,30876041717171.7,29788072805263.2,29872259208178.4,27997539189814.8,27720468900709.2,28172646326771.7,27164947134831.5,25683049310185.2,25027291555555.6
25150658001904.8,25676236316860.5,25503273288973.4,26159497562069.0,26997566032085.6,27337509318181.8,26485081144859.8,26898781610328.6,26572410247422.7,27290692923728.8,28127027116402.1,29475270818604.7,29013454547325.1,29621047962963.0,29210468902777.8,29722620151658.8,30991907058823.5,29734746986532.0,28319910640211.6,27540079162790.7,27433535635802.5,25994417919753.1,26471716739534.9,25904194539534.9,25675054120754.7
25850661546279.5,26825994614849.2,28075888303827.8,27697001151898.7,27841203298360.7,28968630611445.8,28137778487421.4,27003184183593.8,28866144220055.7,28474032274418.6,29164360790540.5,28067025329629.6,29248479132780.1,28748837111524.2,28626297114068.4,29532919610561.1,30781615790123.5,29366418391534.4,30514749449735.4,29524605140845.1,28677218913580.2,27848516139534.9,26111142698347.1,25686858744186.0,24357339700000.0
24812004309719.9,26357958571428.6,26811980117056.9,26726824788643.5,27152063580756.0,26964113903361.3,25950227532646.0,28707895493827.2,28249203445000.0,30123641249011.9,29624416903345.7,30567250444444.4,29808516958506.2,31302412135802.5,30252261021276.6,29992628465608.5,29889932175925.9,29861714127946.1,29819811551020.4,28843996481632.7,28944339013888.9,27721900328703.7,26966092055555.6,25524455956229.0,25314964765306.1
23907192464615.4,24005000037333.3,25292405790697.7,25922058117647.1,26217468790035.6,27265781927152.3,27587848075313.8,27720381108209.0,28646512229166.7,27937598356557.4,28591283087866.1,27835893439153.4,27879653266355.1,29391020569148.9,30016767717592.6,29400689595744.7,29617127833333.3,28814340940425.5,27934111725888.3,29527383646840.1,28486394065843.6,28192671105802.0,27351382814814.8,26747255213953.5,26422170460966.5
25862010636554.6,24737454225895.3,26445419062745.1,27649400901408.4,26333247864150.9,28451496752336.4,28286341251336.9,28961713130232.6,28930758475935.8,29116053582010.6,28982079310185.2,30259870691489.4,29990224656084.7,31026544421487.6,30657945348148.1,30093978148148.1,30086485008230.5,29427469527777.8,29337913755186.7,27877583485232.1,29896222995433.8,28188502797872.3,26453116827907.0,26331778096654.3,25944190867021.3
27286276218890.6,26880268778026.9,26974937604774.5,27781207490250.7,27760041480263.2,28336800271028.0,27784407715867.2,29250068658767.8,29225773471962.6,28937849041666.7,30177116045454.5,28743590370370.4,26361439836448.6,27325876604938.3,29086918407407.4,28542278312757.2,28829894095238.1,28348935512396.7,29050904745901.6,29071955000000.0,28893533023148.1,27571275153488.4,26681891623255.8,25041390735074.6,24522802479338.8
25674351938492.1,25662420288629.7,26582625639175.3,27250821443925.2,26252926915887.9,26106868473684.2,27406522369491.5,28988674508532.4,30230492802238.8,29309344015267.2,29441428823741.0,29296435740740.7,30591781761316.9,29396888930555.6,29616765050505.1,28402502312727.3,29090058561068.7,30245894033333.3,29691345365740.7,28666809974074.1,27516575555970.1,27693807959107.8,27091862446096.7,26532584200000.0,26673056135802.5
23958800727405.2,25250832450704.2,25844041918256.1,26067635694968.6,26394923575144.5,27763757880546.1,27661673625429.6,28373561414179.1,29396909227272.7,28744357306976.7,28781198696296.3,28724435475206.6,28895450995884.8,27505903714285.7,28311440264550.3,29168334906542.1,29226959588477.4,28747160273148.1,29847052755364.8,28108271698492.5,28776623450413.2,28571499722222.2,26164665728723.4,25903169210743.8,24776647796296.3
25833558366890.4,25775391273972.6,25719319044368.6,26844589849056.6,26979622673640.2,26538429878504.7,27790393244131.5,28045614507518.8,28616475700000.0,28348930065420.6,28468190095744.7,28307238226851.9,28303543227513.2,28829467592592.6,28336452329192.5,28232694930555.6,27924233104938.3,29087721376543.2,29225923601063.8,28461998106481.5,28237779603174.6,27628377227513.2,27078700234042.6,26220486581250.0,24905110465838.5
27255290640980.7,27965781988789.2,28332975588235.3,29576468087209.3,28476008343333.3,29474053003861.0,28671760425000.0,29198743866894.2,28786027175609.8,29322069647577.1,30422894505050.5,29012236203703.7,28856090987654.3,28221694345679.0,28901266699074.1,28141190436214.0,28366460621399.2,28855709603703.7,29096286407407.4,29180929490740.7,28248521576719.6,28250630462616.8,26482396409302.3,27058202985074.6,24615812952862.0
25235960494464.9,27146386908860.8,26938827895316.8,27863530225092.2,28020885124137.9,28371647887640.4,28839512078512.4,29497513205992.5,28917985054166.7,29179275166101.7,27794642425531.9,28014394446351.9,29074927085201.8,29499094828054.3,28859051803773.6,29734564861111.1,30046198837209.3,29839655476190.5,31675853552486.2,28828765400881.1,28922218236486.5,28994971932659.9,28398961597285.1,25669170573529.4,26595456278350.5
23916953627802.7,25361275678132.7,25988542189024.4,26077520162234.0,24774684262069.0,25902873957142.9,25621400102112.7,25365340786290.3,27497361200000.0,27233929185873.6,26774494566929.1,27265876664557.0,26933380908745.2,27073814888888.9,28500744195219.1,28348823561068.7,29381644786008.2,30023047323232.3,30122171069444.4,29799394323232.3,28797625158730.2,28355774680851.1,27556371847014.9,28006820031746.0,26560731425925.9
24752015977366.3,23855388280991.7,26950339977859.8,27202226304166.7,26193551478787.9,27565191206451.6,28081503508108.1,27526907288461.5,28295869972826.1,29893225158620.7,29114775679012.3,30328723400000.0,29096924635802.5,30163774814814.8,28921247481481.5,29521758074074.1,28972881728395.1,27984191296296.3,28624493736111.1,28960354055555.6,29772096347222.2,28284015764462.8,26163546640211.6,26001488550561.8,25869921514450.9
27152928034420.3,26352297160655.7,27293405302721.1,27346544930091.2,26738264553435.1,26375411700000.0,28741527123931.6,28078200162790.7,27753522305555.6,29197647112244.9,29062430115702.5,27869430667796.6,29659988333333.3,29350447500000.0,29059005403703.7,28488989929166.7,28935721164835.2,29277455314814.8,28973599180147.1,30094550671641.8,28749950046729.0,27998092152416.4,26199942403292.2,25210859905882.4,25445712848797.2
25686007253822.6,25480353579497.9,27297305402061.9,27818937053459.1,28565354958904.1,28324490315625.0,28912212101886.8,29122341318328.0,29690361986928.1,28712277500000.0,30038968772727.3,29538895396825.4,28408154547325.1,28335405329218.1,28173349473053.9,26142574018957.3,27088248335820.9,28091556399082.6,28448067126168.2,28189438564102.6,26146467405063.3,27155033617977.5,27037643685185.2,26590212313829.8,27078684024844.7
24819203138235.3,26402401221198.2,26492740438953.5,27257225693750.0,27192796938337.8,27532289782771.5,27556187425076.5,27663389218309.9,28064852928571.4,27614422026058.6,27598990735632.2,27916499504201.7,28867058490706.3,28827556786046.5,28136072301587.3,29926087751322.8,30307393810699.6,28917397129629.6,30247423625514.4,31481921518518.5,30681888685185.2,30073146404651.2,27554755210526.3,28517633315789.5,27026256019607.8
24979867481900.5,26068330539801.0,26834995600583.1,26707684286163.5,27131469898876.4,27626447786610.9,26147939686695.3,27226000361313.9,28071080734439.8,27835382078838.2,28408183971074.4,29570989273148.1,28871960007434.9,28181540644628.1,28628911337963.0,29040947647058.8,28874044256302.5,27092909123456.8,27303639711111.1,28012349627907.0,27611633418518.5,26443989646840.1,26264243527777.8,26021825053497.9,24892364014018.7
25488651988571.4,25419899704485.5,26923626987055.0,26562413771043.8,27340487961424.3,26733306604166.7,28034185097744.4,29296305910780.7,27961499834024.9,28221067370833.3,29111431179166.7,30018322028925.6,28050824703703.7,27108753085470.1,28918800128888.9,28235320687242.8,27792621037037.0,28075242934156.4,29164918525581.4,29725257541666.7,30727589243902.4,27269341216981.1,26470481916666.7,26106341896694.2,26394336780821.9
27122958291566.3,26897296287790.7,26505988798722.0,27393712063122.9,26579720345833.3,26952366988721.8,27693276995614.0,26253138627306.3,28585302338645.4,28841830362139.9,28555452313829.8,28978060859259.3,28520458769547.3,29168667407407.4,28404786598765.4,29010833307407.4,28334560990740.7,28033402790960.5,28234222482269.5,28323130312169.3,28422142078703.7,26727183703703.7,26455783061983.5,26082153504132.2,26134586928270.0
