"","N1_Ori","N1_Fit","N2_Ori","N2_Fit","N3_Ori","N3_Fit","N4_Ori","N4_Fit","N5_Ori","N5_Fit","N6_Ori","N6_Fit","N7_Ori","N7_Fit"
"1",0,0,2,1.19412880235802,0,0,0,0.728396955170148,0,0.245072277549976,0,0,1,0.760525782282381
"2",1,1.05374117027798,0,0,0,0.297804428324619,0,1.13626598630742,0,0.369810899216997,0,0.170986574966695,1,0.814920555707632
"3",3,2.71872996741252,0,0,0,0.437718782948844,0,1.00146620190482,2,1.14904216739922,0,0.135037630339707,0,0.220673500621872
"4",0,0.578839903946229,1,0.869939470484706,1,0.573200289982888,0,0.13003724629841,0,0,1,0.166373568360016,0,0
"5",0,1.07693571490084,0,0,1,0.863553972249249,0,0.41785288205763,0,0.176146327976523,1,1.21777147184324,0,0.139604345395807
"6",1,0.52576504319747,1,1.29204539410555,0,0.251450372471771,1,0.0389250987859048,0,0,1,1.26248712112607,0,0.170949321926621
"7",1,2.99290709589915,0,0.500778701610822,2,1.90522337117073,0,0.386405666283031,0,0,0,0.476172414383467,0,0.553439166558591
"8",2,1.97216572687084,0,0.111038217004213,0,1.25041721522005,0,0.322206307309767,0,0,0,0.0373495816726412,1,0.737518097596947
"9",1,1.34700850148031,0,0,0,0.0448399976443628,0,0.829005233159738,0,0.139581526089427,1,0,0,0
"10",0,1.21895177226254,0,0,0,0.624207069221305,0,0.394807069918713,0,0.143476329712235,0,0.824572963590891,1,1.01990994337922
"11",2,3.25442429690818,0,0.0987699772198236,0,0.29777539352662,0,0.0866087842546888,0,0.274111488360329,0,0,1,0.495455163014961
"12",2,2.06741996226354,0,0.00974640132673544,2,1.62247125283484,0,0.0102533925950167,0,0.369086665196835,1,1.30274372424055,0,0
"13",2,0,0,0,0,0,0,0,0,0.107703173841475,0,0.282175597609193,0,0.462933867991745
"14",0,2.23132703803132,0,0,1,0.302425383382848,1,0.331259467975009,0,0.425164357101613,0,0.478231498098489,0,0.245051734303454
"15",2,0.584470170035056,0,0,0,0.0880348332108898,0,0.596277661770648,0,0.433903124195815,1,1.27312523101463,0,0.329793706957866
"16",1,1.86321121755338,0,0,0,0.253380072883257,0,0.073879681006177,0,0.067717089762056,0,0,0,0.503850069628827
"17",0,0.643442838845296,0,0.914178750109875,0,0,0,0,0,0.0986327847488029,0,0,0,0.219963727494158
"18",1,1.01204405177182,0,0.103536273425476,0,0.226025671872393,0,0,1,0.810871794218028,0,0.647598644899818,0,0.105450127068779
"19",1,0.369869098824701,0,0.208777233535504,0,0.14041161798134,0,0,0,0,0,0,0,0.37178097001498
"20",0,1.65641652861441,0,0,1,0.820356066012879,0,0,0,0.196033507083813,1,0,0,0.167632109921672
"21",0,1.38043953680487,0,0.139053343311503,1,0.920077043564729,0,0,1,1.29830618581525,1,1.10495608962425,0,0.255470962388405
"22",1,0.974554524042959,0,0.313714559358045,0,0.312983209882142,0,0,0,0.202755504985574,1,2.27968578050285,0,0.894955847383582
"23",0,0.806162782118974,0,0.0643104298828132,0,0,0,0,1,0.90628198415254,0,0.263610738161759,0,0.234409380866923
"24",1,1.32656338254875,0,0.143162369020006,0,0.0693243514175634,0,0,0,0.209378523939289,0,0.740793964958962,0,0.684439677531767
"25",0,0,0,0,0,0,0,0,0,0,0,0.36029984583102,0,0.0875866802933301
"26",2,0.286206083928376,0,0.451717568987984,0,0.175287063636749,0,0.304813414601983,0,0.325591832341045,0,0,0,0.165282658815291
"27",3,0,0,0.0226153991974278,0,0,0,0,0,0.2249367495994,0,0.456352602323823,0,0
"28",1,3.7826226110359,0,0,1,0.890780389622619,0,0,0,0.253273797960772,0,0,0,0.0964832688642352
"29",0,3.80862734244221,0,0.0078585306274067,0,0.0466694485626903,0,0,0,0,1,0.838408977842572,1,0.592294453488267
"30",0,0,0,0.350771798390489,0,0.474426700922932,0,0,0,0,1,0.52955689913711,0,0
"31",0,0,1,1.16699768823088,0,0.102729286506646,0,0,0,0.0946360822602644,1,0,3,2.84212711489302
"32",1,1.63807246759091,0,0.0793872557864916,1,1.11884819901271,0,0,1,0.984706016731428,0,0.153047524995052,0,0.883273348467901
"33",1,0.441132227231247,0,0,0,0.437822377000023,1,0.188994707935885,0,0.271957735405677,0,0.401326521314062,0,0
"34",2,3.72205768122404,0,0.130060097081995,1,0.740022330584206,0,0.0824161881374077,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0.271822869589781,0,0.740541494475796
"36",1,0,0,0.124393041200716,0,0,0,0.00186905613177716,0,0,0,0,0,0.0406483745197054
"37",0,2.61178135905951,0,0,0,0.123770207807519,0,0,0,0.216109336642549,0,0,1,0.671528539463486
"38",1,0.541561864237118,0,0.0233057630357968,0,0,0,0.231799260453566,0,0.309139972944256,0,0.450475911691753,0,0.0710125136191246
"39",0,0.547712039032621,0,0.580881154612227,0,0,0,0,0,0.156827551998645,0,0.432262504296384,0,0
"40",1,1.90253783027455,0,0.152837748480297,0,0,0,0,0,0.40365267171762,0,0.00377339804394793,0,0.29769403933427
"41",0,3.13630541210566,0,0.329671684161752,0,0,0,0,0,0,0,0.586142840222985,0,0.347569810851461
"42",1,0,0,0,0,0.0754224366836632,0,0.0787616786918012,0,0,1,0,0,0.191866121251522
"43",2,0,0,0.170082569257974,0,0,0,0.432265614902613,0,0,0,1.43551330712493,0,0.253091631258875
"44",0,0.807852514176802,0,0,0,0,1,0.199473623061094,0,0,0,0,0,0.031420738386036
"45",1,0,0,0.465165940496166,1,0.755365024429033,0,0.0211091696757354,0,0,0,0,0,0
"46",0,0,0,0,0,0.242080761260214,0,0.803727088827865,0,0,0,0,0,1.22537407507623
"47",0,0.510752162010433,0,0.399161266986111,0,0,0,0,0,0.264318241352104,0,0,0,0
"48",2,1.34058400471347,0,0.322246471162049,1,0.920286669424871,0,0,0,0,0,0,0,0.403892977984347
"49",0,0,1,0.761893516567975,0,0.384264500914174,0,0,0,0,0,0.228077698558863,0,0.37419486330929
"50",0,0.894314303335505,0,0.401606660653129,0,0.0870434294658519,0,0.519486272078999,0,0,0,1.09418518399246,1,0.844080082882282
"51",2,2.50283864976648,0,0,0,0.751936241884618,0,0.118004955613811,0,0,0,0.350491852278528,0,0
"52",2,2.24928998294157,0,0.310012475436694,0,0,0,0,0,0.349535436379176,0,0,0,0.200176643636992
"53",0,0.872620135463575,0,0.0658464816731922,0,0.546768581087132,0,0,0,0,0,0.930070166086042,0,0.170752408138186
"54",2,0.301550399401932,0,0,0,0,0,0,0,0,0,0,0,0
"55",1,0,0,0.574482554714282,0,0,0,0.178100783358045,0,0.219343719467616,1,0.775851776118421,0,0
"56",0,0.31191649764262,0,0,0,0.0461503627525005,0,0,0,0.488422175510824,0,0.304879529764888,0,0.135614116987401
"57",0,2.75488197246685,0,0.144953952021288,0,0,0,0,0,0,1,0.858735161609412,0,0
"58",0,0,0,0,0,0.2166910812587,0,0.238786715112257,0,0.192318822229059,0,0,0,0.12076206066822
"59",0,3.5936388237101,0,0.0744645488342785,0,0,0,0.257313617214121,0,0.201209017534499,0,0,0,0.90924110044688
"60",1,1.6673752441997,0,0,0,0,0,0,0,0.0803812358601158,1,0.987455987066497,0,0
"61",2,0,0,0.243334141466881,0,0.110870866747148,0,0,0,0.197081001930836,1,1.47463240730893,0,0.243174798527368
"62",0,0.592641899577415,0,0.578712799293713,0,0.317096837072249,0,0.210427559029052,0,0,0,0.0868182507884849,0,0
"63",0,0,0,0.151912900891834,1,0.533765741504314,0,0.443624757921733,0,0.0189205573385862,0,0.343147242853624,0,0.22453796317896
"64",2,1.89629235141874,0,0.308423190158258,0,0,0,0,1,1.2313718580646,0,0.240420129852123,0,0.166624320504313
"65",0,1.95009240363083,0,0,0,0,0,0,0,0.133697767602044,1,1.34711250184615,0,0.11680724930873
"66",0,0.999673145473962,0,0.0840941961988639,0,0.450913277846596,0,0,0,0,0,0.627439877256443,0,0.684059137088449
"67",1,1.81315566074249,0,0,0,0.13138640602535,0,0.493440279635203,0,0.207707528668749,0,0,0,0.297939670851033
"68",0,0,0,0.165692852174673,0,0,0,0.377535769841447,0,0.219137842004942,0,1.10015678084005,0,0.110548286682621
"69",0,1.99034730368224,0,0,0,0.312818011361432,0,0,0,0.313472414279988,0,0.368880628618214,0,0
"70",0,0.266876903889312,0,0.438932170530352,0,0.118317815304871,0,0.459553516656039,0,0.102902027715692,0,0,0,0.576704713380713
"71",1,1.35014506172354,0,0.306037928517067,0,0.627878626288548,0,0.698617654115206,0,0.0240345283920747,0,0.243653487211554,0,0.319608314936256
"72",0,2.34911052650031,0,0.0724253392399328,0,0,0,0.249103695083177,0,0,1,0.724702863513888,0,0
"73",0,0.8439721590135,1,0.594385901024191,1,0.822555685393546,0,0.29761699143638,0,0.391330901854541,1,0.346881404770017,0,0
"74",1,0.315786486656267,0,0.47571890760723,1,0.863837976315995,0,0.298231126279195,0,0.0015001862101562,0,1.20410778255373,1,1.46550230072493
"75",0,0.789351844579597,0,0.0981330436726389,0,0,1,0.780617991460443,0,0.247385049915128,0,0,0,0.535925409882397
"76",0,1.26738513056781,0,0.327569730974187,0,0,0,0.453472119175488,0,0.0908262413996813,0,0.615892640753793,0,0
"77",2,2.35107068948889,0,0.0866775663941291,1,1.24188533115708,0,1.05143791296595,0,0,0,0.318149438760133,0,0
"78",1,2.13826537684703,0,0,0,0.253182106657527,0,0.244634390023248,0,0.452779614653037,0,1.32874792303393,0,0.205049282762191
"79",1,2.46720101649963,1,0.65573489508805,0,0.37906023354629,0,0.745240662538809,0,0,0,0.647932673457802,0,0
"80",1,0.916019234106081,0,0.116208320508928,0,0.445265842052944,1,0.592879924051511,0,0.161214052102732,0,1.19012583025728,1,0.238097694263741
"81",0,1.4974930539217,0,0,0,0,0,0.494051253689755,0,0,1,0.946829987443331,0,0.100207840086832
"82",1,0,0,0,0,0,0,0.601785533004682,0,0.108746010884253,0,0.203387903696215,0,0
"83",0,1.01615514212017,0,0.233120310547536,0,0.329450435219477,1,0,0,0,2,0,0,0.0260673159425556
"84",0,0.214342317347761,0,0.0956214975387147,0,0,0,0.561897532830412,1,0.768600877561889,0,0.135082391434502,0,0.27207634340492
"85",0,1.67792660171357,0,0,0,0.19283968425941,0,0.895767676778786,0,0,0,0.534771566287083,0,0
"86",0,0.845666023866158,0,0,0,0,0,0.159776369525187,0,0.0456408683385033,0,1.24382552230578,0,0
"87",0,0,0,0.31973204769992,0,0.313743431344098,0,1.08073933339738,0,0,0,0.102026120627216,0,0
"88",0,0,0,0.210854371360558,0,0.260519914509497,0,1.14598689741321,0,0.40024455229429,0,0.0919231912812177,0,0.227395224786249
"89",0,1.0049203867503,0,0.216007952479419,0,0,0,0.515893139763614,0,0,0,0,0,0.221712438174522
"90",1,0.872224028258189,0,0,0,0.139782557866437,1,0.421579480892226,0,0.0162545177850833,0,0.378562337499058,0,0.0858637873964975
"91",0,0,0,0,0,0.0263365124387628,0,0.607391857218511,0,0.351597674250364,0,0.472567141271285,0,0
"92",1,1.40358884570618,0,0.331783725415789,0,0.234406259259947,0,0.0680711700883508,1,0.60149428448807,0,0.410252512166979,0,0
"93",0,1.0880247913367,0,0.099199750872199,0,0,0,0.000985345751801196,0,0.0675201683599657,0,0.661370142483801,0,0.107034363901966
