N1,N2,N3,N4,N5,N6,N7
29.004341,1.6534967,2.7652063,6.322352,1.8928413,4.239922,1.4430184
23.330652,1.1539189,4.6803966,4.9163055,-0.0010578024,7.6191607,1.8040462
24.096594,3.4706218,0.60350144,4.905228,-0.1149295,4.509882,7.4708676
23.751215,0.4308367,5.1665545,6.2547007,1.2799346,6.396443,3.3335829
23.297235,2.621365,4.5661707,3.6580842,1.0376272,4.8526626,3.498231
25.882471,2.0805013,2.3045976,5.259137,0.1564241,4.3204594,3.391479
18.043514,3.8412097,5.0553,5.7769213,1.8135014,4.4702682,3.6459877
23.839214,3.5692866,4.3519187,7.635754,1.0798196,4.151071,1.1164484
24.86124,3.2870615,3.4895182,8.861349,1.871534,7.8907967,2.6926625
27.150076,1.27459,6.211866,9.082268,3.6746483,4.6966686,4.655862
31.951324,2.952132,2.0691686,7.600046,2.1264012,4.541886,-0.015205744
28.551414,4.639274,5.917128,8.536569,1.0617186,6.0905495,4.5191536
29.36665,2.928813,6.9248033,11.936569,-0.003239213,5.5047765,3.8980076
25.149734,2.2124994,1.7279575,7.4340944,0.07939929,3.976679,2.7416513
34.43997,2.4894361,4.34352,8.591657,0.17895347,9.45978,0.4509195
25.39381,0.88853735,8.92584,6.3119802,0.79738516,7.5384793,5.734783
32.103912,3.725548,5.4327335,9.386085,4.2476025,11.846019,6.047741
21.764196,1.5196136,3.923127,6.931804,0.9112555,6.8639746,5.3671465
22.41176,0.7372452,5.4733195,11.052691,0.0084692845,3.1014657,2.219144
21.977818,0.2508622,4.3462105,6.8026104,0.19453871,1.3083133,0.5307672
27.820559,-0.11701587,4.9674287,7.7731004,1.8260251,7.5677705,2.255271
26.0153,3.7439938,4.571497,7.5228963,2.9047966,6.569274,6.0086875
21.863644,4.948342,5.613008,9.2997,4.1648436,21.770805,7.5299983
27.00999,0.07759425,1.7837113,8.344624,3.1300294,14.9699545,6.36386
38.132053,0.13610944,6.4182744,10.754002,1.8322196,10.28877,2.0595968
22.033083,1.2985473,6.7080765,7.5698657,2.962279,9.896867,2.2226064
24.760704,1.9411355,5.278608,10.274308,4.1606,12.182844,5.2934527
27.349096,0.10592827,3.4969041,7.836213,3.0147207,8.398978,3.3900151
23.025236,2.0007284,14.6798,8.862323,2.289142,6.959744,2.478067
32.415955,1.397457,2.1175575,6.219001,1.0395651,10.660107,6.71689
26.18393,3.0008159,4.718746,10.790919,1.2459126,15.676558,6.513277
24.630981,0.7802092,6.45244,9.66579,3.0447814,7.3831744,3.873664
30.027655,0.22151515,4.2215548,7.6247134,1.987884,6.401682,2.192573
21.282232,2.7389693,4.5493655,10.512066,0.09997618,9.067526,3.9777656
18.217993,0.7903275,5.9199405,10.877084,0.8114404,3.9882712,4.7054825
33.608116,1.0557702,3.716243,8.851554,-0.08701795,7.6775126,2.4329846
29.379768,1.9258823,-0.05315767,7.823421,3.7896376,4.267913,2.1906805
25.406626,0.6768197,4.3770227,6.5052857,2.9410915,10.619675,2.4345071
19.297516,2.8036041,1.4826438,9.650657,1.8221239,7.1249595,2.3180704
18.589453,1.2374283,8.438052,3.6351945,0.63150334,4.4190903,4.401021
15.70408,-0.36911538,6.0675893,3.9428318,1.031473,1.7779189,2.3118782
13.328441,1.2683727,1.7836628,8.024006,0.91494954,8.132989,1.0043952
17.394743,0.6312633,0.033697743,4.635522,1.1376742,4.0127945,2.1627028
22.491697,-0.017616065,3.4415147,1.8724543,0.9941871,4.0883603,1.2348082
19.788122,1.9400649,2.6372192,5.171762,-0.10835451,6.156724,0.8381293
12.257497,1.0641487,1.939931,5.6321564,1.287874,4.656415,2.1069746
11.052082,0.27849802,3.2333124,1.9859723,2.0741384,5.171034,3.2632406
7.384358,1.067629,2.2033377,2.962155,0.7707173,4.2023034,1.8310455
11.706674,1.2645593,2.0302103,3.656863,1.1743727,2.7041261,4.330112
8.885883,1.0925564,2.84476,4.417934,-0.038339317,5.801706,1.5233854
10.099667,0.6873977,2.3292334,2.6337001,1.0735377,2.5850718,0.2143904
9.954156,0.06949529,1.3128812,2.912662,-0.22411615,2.8014696,1.9255261
10.992382,0.9396848,3.913701,3.078169,1.8112433,4.8179955,1.6470517
11.234422,-0.0401713,0.2420279,3.1507215,1.4811454,5.3753514,-0.032270316
12.523267,1.0032264,0.48896375,2.807246,1.6532512,2.5749645,2.3810527
11.318089,0.1075103,1.9707634,4.222704,0.87834847,3.366094,0.9499059
10.537745,0.22630832,1.0444807,4.3646703,0.70137316,3.9786084,0.80875826
12.146625,0.25249228,1.1233766,3.4665084,0.79648745,2.7920408,3.149458
9.048379,0.12434563,0.6248187,2.6634014,0.06187147,4.364758,2.471711
9.965541,1.7467163,3.7225344,3.1104832,1.1256273,6.179918,1.1170123
9.202906,0.39594933,0.43291512,4.3014812,-0.19151908,5.0415125,0.09253669
7.9031997,0.13571045,1.4036565,2.4159265,1.0946681,3.7467542,0.67041814
8.886418,-0.107225925,1.1576244,1.8681496,0.7141801,3.7393544,0.39133263
7.708775,0.7859787,1.5009876,1.9521497,0.25658363,2.1837738,0.87015176
6.7248616,0.50546205,0.7090529,1.3847369,0.176148,2.0093217,1.0104582
5.7982745,0.4607397,1.3476057,1.5565189,1.180984,1.9615299,0.33503604
6.2634797,0.20348498,0.9763696,1.6600112,0.45985103,2.9897015,0.7921525
3.115439,0.4017212,2.5756388,1.959148,0.47435433,2.4623578,1.3078108
3.5942025,-0.2846512,1.5235792,1.2091302,0.5431021,1.9543778,-0.19754183
4.406201,0.557539,1.2528393,1.9378678,1.111375,1.125599,0.54914916
3.784289,0.3002158,0.63703454,2.2433639,0.73243934,2.0625005,1.0208416
2.7618556,0.34502873,0.1220056,1.1842157,0.26524144,1.5059589,0.7832556
