"","N1_Ori","N1_Fit","N2_Ori","N2_Fit","N3_Ori","N3_Fit","N4_Ori","N4_Fit","N5_Ori","N5_Fit","N6_Ori","N6_Fit","N7_Ori","N7_Fit"
"1",20,49.9083472309727,4,5.19621649520157,8,7.7175144016525,2,3.12555772797382,3,4.92510387843695,7,14.3764181073376,5,6.83784971614208
"2",15,4.23582165034529,1,3.05894324176964,4,5.77211953356421,1,4.07965553398273,3,5.21381211875737,5,3.96002184276205,5,2.20963869432531
"3",14,29.7720517104965,1,0,2,8.39108096444474,1,10.3314027265869,0,1.62898467420434,4,0,1,6.43864726589277
"4",12,46.6338321624598,2,2.20943300483076,4,5.02729676926598,2,9.85978621612554,1,8.31150090371981,4,20.8865580311406,2,5.74222200934298
"5",8,28.4064282171626,0,4.56532517302532,0,8.37299906347952,3,7.70269066177202,5,3.72573693648793,3,30.5262789266728,1,2.19655853780703
"6",7,89.6214560763203,2,4.47896034689543,5,9.18118480728867,3,11.0250079154423,2,3.04113813542932,5,8.48402214966352,7,0.850510392114835
"7",23,40.6514971942445,4,12.0784350281419,5,0.937687554344937,5,9.15359474466394,3,1.29745110881925,9,17.9150749551751,2,3.94502102858137
"8",76,133.599342101487,6,4.10823407159766,9,12.1075498424925,14,28.1641786967143,2,2.51096533648653,8,5.49696042171796,1,6.75770559693048
"9",179,150.737253110657,18,17.1155782815158,9,6.93427457517152,32,36.9966355002565,5,8.35876021070032,17,9.39515194088906,8,15.8320124126314
"10",219,181.46939656701,22,15.8146360026553,25,19.8226176332408,51,48.6757107636592,8,6.97189372434047,26,28.4530796478263,13,11.9913985582299
"11",196,183.030608130858,18,15.7354970528484,27,25.2647213431601,75,70.8055019418698,9,9.32126027800493,40,41.0203297005225,25,28.7356330827956
"12",169,163.907320996046,11,10.9562435729393,22,19.0445253791843,48,57.1926710283678,10,16.0003832911657,32,39.9080790846894,11,14.6031465189395
"13",142,202.703537126121,13,11.7536975536418,22,24.2310727485378,26,33.1574523178841,4,5.09865527469706,35,32.1936372184629,23,26.3826576763312
"14",163,162.304737191924,19,16.8561455072286,27,31.3546443258963,53,47.9743585852249,10,9.29012516083885,36,31.6132447853329,16,19.4941180079931
"15",163,132.880187241525,12,17.8659716887431,29,26.9081155494181,49,46.5899377477879,6,6.07648604432439,44,45.6793741947229,22,22.2737657336894
"16",176,132.783106305004,9,13.6958348134238,28,14.5570435733866,49,27.5072347617394,14,11.1274432508656,63,64.4109717529797,24,19.511168663785
"17",148,128.658195190795,9,9.4603431529065,37,33.4357560701194,56,50.152818869537,14,16.7415580505321,67,37.8917899618979,25,17.4591627990711
"18",169,128.230215181588,8,5.25408104971457,23,24.5835592606666,55,37.1653976583453,10,8.35443719429584,39,35.4503397029905,20,19.5833141030987
"19",115,89.7846543170231,7,9.07567821120636,22,17.3225311767014,33,26.595593545821,9,8.16073969204131,36,30.0699810212054,14,15.5538450521073
"20",82,137.115117407108,5,1.42371010782617,14,7.34981069337268,25,12.9716213313172,6,8.6990633496312,31,30.4140552911826,13,13.2914611797248
"21",64,84.0353875638618,4,2.17283218078708,14,7.16490677717377,17,14.8145835748089,7,4.43591051383238,22,10.365136322242,7,6.04923557935967
"22",51,65.7836087381338,2,1.50719789733395,9,8.9255464198165,24,23.7299820476744,4,6.66378376748193,29,22.3188292819716,10,8.70710280474867
