,N1,N2,N3,N4,N5,N6,
MAE,24.31104191,11.13749845,21.51449979,16.86625235,20.01739211,26.52418483,20.06181157
RMSE,31.03655735,14.00014047,27.13912591,20.9706837,25.69142042,32.32421516,25.1936905
R2,0.786667791,0.969757498,0.82572976,0.817514195,0.817895265,0.72277588,0.823390065
variableNum,34,85,50,43,56,16,
