,N1,N2,N3,N4,N5,N6,
MAE,26.12918823,42.6388083,41.779827,52.87775415,45.69196329,38.81532297,41.32214399
RMSE,32.96257222,54.13184677,51.99147611,66.33798543,58.4592748,47.95788846,51.9735073
R2,0.718511991,0.758291364,0.596572984,0.699265363,0.572710936,0.498720528,0.640678861
variableNum,40,60,41,41,42,20,
